ID gender major quiz1 quiz2 quiz3 quiz4 quiz5
1  M Math    90    79    90    90    93
2  M Math    55    60    58    70    79
3  F Math    60    72    NA    80    77
4  M Math    66    48    89    70    72
5  F Math    63    60    54    55    61
6  M Math    61    48    63    60    83
7  M Math    40    42    83    80    56
8  M Math    50    44    11    60    71
9  M Math    75    80    93    90    85
10 F Math    57    64    68    65    71
11 M Math    71    71    87    86    93
12 M Stat    93    94    97    92    94
13 M Stat    70    81    87    90    87
14 F Stat    67    87    82    92    92
15 M Stat    62    74    70    85    82
16 F Stat    72    67    63    60    74
17 M Stat    91    80    NA    77    81
18 F Stat    91    76    87    70    86
19 M Stat    65    82    63    NA    82
20 M Stat    62    57    84    65    47
21 M Stat    61    56    73    65    79
22 M Stat    38    68    43    92    81
23 M Stat    75    80   100    86    85
24 M Stat    72    79    83    60    86
25 M Stat    48    51    73    75    67
26 M Stat    48    70    73    80    68
27 F Stat    78    79    66    80    76
28 F Stat    43    67    69    75    88
29 F Stat    60    NA    45    60    63
30 M Stat    35    46    37    70    38
31 F Stat    31    61    52    75    77
32 F Stat    74    74    79    86    79
33 F Stat    79    82    97    88    91
34 F Stat    72    68    80    90    76
35 F Stat    81    94    87    90    82
36 F Stat    71    57    48    60    86
37 F Comp    53    59    70    75    73
38 M Comp    60    77    84    85    87
39 F Comp    61    65    73    65    69
40 F Comp    48    55    93    92    56
41 M Comp    73    71    90    92    83
42 F Comp    64    76    53    55    67
43 M Comp    65    65    87    92    69
44 F Comp    97    96    90    86    99
45 F Comp    94    88    97    92    96
46 F Comp    48    55    47    75    44
47 F Comp    80    79    63    75    93
48 M Comp    51    54    60    60    79
49 F Comp    73    89    90    85    89
50 F Comp    64    73    88    85    84
51 M Comp    62    54    75    85    71
52 F Comp    91    92    90    85    92
